                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.1488,                0.71663,                 1.0702,                0.56597,                0.45602,                0.48654,                0.32312,                 1.1134,                0.66352,                 1.0624,                0.00505,                0.00505,                0.00505
                     52,                 1.1402,                0.70567,                 1.0679,                 0.5606,                0.46485,                0.49187,                0.32786,                 1.1112,                0.65988,                 1.0614,               0.004951,               0.004951,               0.004951
                     53,                 1.1379,                0.70943,                 1.0689,                0.60747,                0.45144,                0.49699,                0.33015,                 1.1105,                0.65831,                  1.061,               0.004852,               0.004852,               0.004852
                     54,                 1.1416,                0.70746,                 1.0678,                0.60669,                  0.443,                0.49138,                0.32857,                 1.1075,                0.65745,                 1.0576,               0.004753,               0.004753,               0.004753
                     55,                 1.1422,                0.70612,                 1.0682,                0.63086,                0.43777,                0.49703,                0.33279,                 1.1067,                0.65603,                  1.057,               0.004654,               0.004654,               0.004654
                     56,                 1.1383,                0.70557,                 1.0663,                0.59837,                0.46291,                0.49881,                0.33227,                 1.1085,                 0.6538,                 1.0576,               0.004555,               0.004555,               0.004555
                     57,                 1.1338,                0.69884,                 1.0605,                0.58401,                0.45661,                0.49698,                0.33197,                 1.1044,                0.65476,                 1.0551,               0.004456,               0.004456,               0.004456
                     58,                 1.1309,                0.69461,                 1.0602,                0.60529,                0.46236,                0.50532,                0.33694,                 1.1026,                0.65029,                 1.0548,               0.004357,               0.004357,               0.004357
                     59,                 1.1282,                0.69281,                 1.0595,                0.61055,                0.46316,                0.50646,                0.33835,                 1.1027,                0.65018,                 1.0552,               0.004258,               0.004258,               0.004258
                     60,                 1.1269,                0.68781,                 1.0564,                0.59526,                0.46066,                0.50479,                0.33779,                  1.101,                0.64784,                 1.0523,               0.004159,               0.004159,               0.004159
                     61,                 1.1241,                0.68718,                 1.0544,                0.61261,                0.45829,                0.50581,                0.33881,                 1.1006,                0.64662,                 1.0526,                0.00406,                0.00406,                0.00406
                     62,                 1.1197,                0.68708,                 1.0546,                0.63683,                0.45254,                0.50829,                0.34021,                  1.097,                0.64638,                 1.0513,               0.003961,               0.003961,               0.003961
                     63,                 1.1185,                0.68288,                 1.0533,                  0.644,                0.44501,                0.50385,                0.33637,                 1.0974,                0.64562,                 1.0513,               0.003862,               0.003862,               0.003862
                     64,                 1.1233,                0.68563,                 1.0554,                0.61548,                0.45801,                0.50484,                0.33886,                 1.0976,                0.64357,                 1.0513,               0.003763,               0.003763,               0.003763
                     65,                 1.1157,                 0.6845,                 1.0531,                0.60059,                 0.4666,                0.50695,                0.33891,                 1.0972,                0.64169,                 1.0507,               0.003664,               0.003664,               0.003664
                     66,                 1.1142,                0.67749,                 1.0498,                0.61025,                0.45924,                0.50854,                0.34138,                  1.097,                0.64091,                 1.0497,               0.003565,               0.003565,               0.003565
                     67,                 1.1108,                 0.6794,                 1.0484,                0.61277,                0.45267,                0.50965,                0.34299,                  1.095,                0.64147,                 1.0496,               0.003466,               0.003466,               0.003466
